Name,Industry,Account_Manager__c
TechForge,Technology,Alice Johnson
Denver Systems,Technology,Bob Martinez
Cascade Retail Group,Retail,Carol Singh
Lakeside Health Partners,Healthcare,David Lee
Summit Telecom,Telecommunications,Emma Williams
Brightline Logistics,Retail,Frank Osei
Patriot Wireless,Telecommunications,Alice Johnson
Cedar Park Media,Technology,Bob Martinez
Gulf Coast Foods,Retail,Carol Singh
Northstar Clinics,Healthcare,David Lee
Bay Area Devices,Technology,Emma Williams
Sierra Connect,Telecommunications,Frank Osei
Midwest Supply Co,Retail,Alice Johnson
Liberty Data Works,Technology,Bob Martinez
Riverside Pharma,Healthcare,Carol Singh
Pioneer Networks,Telecommunications,David Lee
Maple Leaf Mobile,Telecommunications,Emma Williams
Toronto Health Systems,Healthcare,Frank Osei
Vancouver Tech Labs,Technology,Alice Johnson
Prairie Retail Ltd,Retail,Bob Martinez
Monterrey Comunicaciones,Telecommunications,Carol Singh
Guadalajara Salud,Healthcare,David Lee
Iberia Digital,Technology,Emma Williams
Manchester Media,Technology,Frank Osei
Thames Telecom,Telecommunications,Alice Johnson
Berlin DataHaus,Technology,Bob Martinez
Lyon Sante,Healthcare,Carol Singh
Milano Retail,Retail,David Lee
Mumbai Telecom,Telecommunications,Emma Williams
Bengaluru Systems,Technology,Frank Osei
Sydney Connect,Telecommunications,Alice Johnson
Singapore HealthHub,Healthcare,Bob Martinez
Sao Paulo Varejo,Retail,Carol Singh
Cape Town Networks,Telecommunications,David Lee
Dubai Tech Holdings,Technology,Emma Williams
